x,y
1.9507,-0.2219
1.6918,-0.1554
0.3874,-0.0356
2.6518,-0.2436
0.4071,-0.0374
2.4899,-0.3105
0.9298,-0.1159
0.9543,-0.1225
0.3261,-0.0418
2.7209,-0.3492
0.9267,-0.1189
2.6544,-0.3407
0.9437,-0.1211
1.2945,-0.185
2.6272,-0.3755
0.9478,-0.1355
1.1252,-0.1772
0.5587,-0.088
2.6704,-0.4207
0.9502,-0.1497
0.9957,-0.1641
0.4874,-0.0803
2.6914,-0.4436
0.9567,-0.1577
1.3722,-0.2112
0.4351,-0.067
2.6952,-0.4147
1.2475,-0.192
1.2822,-0.1833
0.3759,-0.0537
2.7047,-0.3866
1.2508,-0.1788
1.3445,-0.1726
0.5262,-0.0675
2.6964,-0.3461
1.2488,-0.1603
1.4649,-0.2094
0.5275,-0.0754
2.6829,-0.3835
1.2415,-0.1775
1.2859,-0.1932
0.6019,-0.0904
2.6724,-0.4015
1.2388,-0.1861
1.312,-0.2115
2.6739,-0.431
1.2386,-0.1996
2.6327,-0.4339
1.2202,-0.2011
0.7349,-0.1158
2.5139,-0.396
1.1697,-0.1843
1.3481,-0.2025
0.5499,-0.0826
2.4025,-0.3609
1.3075,-0.1964
2.301,-0.3457
1.2586,-0.1891
1.2806,-0.2017
2.2167,-0.3492
1.2128,-0.1911
1.7027,-0.3179
1.0732,-0.2004
2.085,-0.3893
1.3624,-0.2544
1.7074,-0.406
1.1495,-0.2733
2.009,-0.4777
1.3173,-0.3132
1.4294,-0.366
1.8539,-0.4746
1.3045,-0.334
1.2813,-0.3374
0.8378,-0.2206
1.7715,-0.4665
1.1672,-0.3073
1.1422,-0.2924
0.8181,-0.2094
1.6785,-0.4297
1.1789,-0.3018
1.309,-0.3208
0.8855,-0.217
1.6567,-0.406
1.2037,-0.295
1.6484,-0.404
1.2378,-0.3034
1.2543,-0.312
1.618,-0.4024
1.217,-0.3027
1.1809,-0.3023
1.0061,-0.2576
1.5977,-0.409
1.2347,-0.3161
1.239,-0.3263
1.0643,-0.2802
1.5723,-0.414
1.2153,-0.32
1.5397,-0.4504
1.192,-0.3487
1.1999,-0.3641
1.5214,-0.4617
1.1468,-0.348
1.0816,-0.3321
1.5133,-0.4647
1.1415,-0.3505
1.0793,-0.3275
1.5166,-0.4602
1.1439,-0.3471
1.5236,-0.4568
1.1486,-0.3443
1.0831,-0.3287
1.527,-0.4633
1.1517,-0.3495
1.536,-0.4493
